"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"2.102.970.985","BAET",,,"8500","Kortrijk","Kortrijk","Ringlaan(Kor)","Ringlaan(Kor)","34","","",
"2.102.971.183","BAET",,,"8790","Waregem","Waregem","Markt","Markt","21","","",
"2.102.971.282","BAET",,,"3000","Leuven","Leuven","Vismarkt","Vismarkt","17","","",
"2.102.971.381","BAET",,,"3200","Aarschot","Aarschot","Grote Markt","Grote Markt","23","","",
"2.102.971.480","BAET",,,"3290","Diest","Diest","Sint-Jan Berchmansstraat","Sint-Jan Berchmansstraat","3","","",
"2.102.971.579","BAET",,,"3000","Leuven","Leuven","Bondgenotenlaan","Bondgenotenlaan","55","","",
"2.102.971.777","BAET",,,"4101","Seraing","Seraing","Rue des Rhieux","Rue des Rhieux","1","","",
"2.102.971.876","BAET",,,"4000","Liège","Liège","Rue de la Sirène","Rue de la Sirène","7","","",
"2.102.971.975","BAET",,,"4020","Liège","Liège","Rue du Nord-Belge","Rue du Nord-Belge","6","","",
"2.102.972.173","BAET",,,"4000","Liège","Liège","Chaussée de Tongres","Chaussée de Tongres","269","","",
"2.102.972.272","BAET",,,"4020","Liège","Liège","Quai des Vennes","Quai des Vennes","1","","",
"2.102.972.470","BAET",,,"4300","Waremme","Waremme","Avenue Reine Astrid","Avenue Reine Astrid","10","","",
"2.102.972.668","BAET",,,"6900","Marche-en-Famenne","Marche-en-Famenne","Marche, Rue de la Pirire","Marche, Rue de la Pirire","3","","",
"2.102.972.866","BAET",,,"2500","Lier","Lier","Grote Markt","Grote Markt","9","","",
"2.102.972.965","BAET",,,"2800","Mechelen","Mechelen","Stationsstraat","Stationsstraat","58","","",
"2.102.973.064","BAET",,,"2800","Mechelen","Mechelen","Bruul","Bruul","13","","",
"2.102.973.262","BAET",,,"7100","La Louvière","La Louvière","Rue de la Franco-Belge(L.L)","Rue de la Franco-Belge(L.L)","28","","",
"2.102.973.361","BAET",,,"7000","Mons","Mons","Avenue des Bassins","Avenue des Bassins","64","","",
"2.102.973.460","BAET",,,"7000","Mons","Mons","Rue des Fossés","Rue des Fossés","7","","",
"2.102.973.559","BAET",,,"5000","Namur","Namur","Rue Marie Henriette","Rue Marie Henriette","60","","",
"2.102.973.658","BAET",,,"5060","Sambreville","Sambreville","Rue Saint Jean-Baptiste(TAM)","Rue Saint Jean-Baptiste(TAM)","1","","",
"2.102.973.757","BAET",,,"5030","Gembloux","Gembloux","Grand'Rue","Grand'Rue","18","","",
