"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"0401.893.368","REGO","Verenigde Staten van Amerika","Etats-Unis d'Amérique","","New-Rochelle (N.Y.)","New-Rochelle (N.Y.)","Palmer Avenue","Palmer Avenue","2525","","",
"0401.897.625","REGO","Verenigde Staten van Amerika","Etats-Unis d'Amérique","","New York","New York","Maiden Lane, 180 Ny 10038","Maiden Lane, 180 Ny 10038","","","",
"0401.903.860","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","","...","...","","","","","",
"0401.919.597","REGO","Verenigde Staten van Amerika","Etats-Unis d'Amérique","","Pennsylvanie","Pennsylvanie","","","","","",
"0401.929.002","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","","...","...","","","","","",
"0401.929.297","REGO","Groot-Brittannië","Grande-Bretagne","","London","London","Andrew House  60 Worship street","Andrew House  60 Worship street","","","",
"0401.936.425","REGO","Frankrijk","France","","Saint-Mandé","Saint-Mandé","Rue Guynemer 10/12","Rue Guynemer 10/12","","","",
"0401.936.821","REGO","Zwitserland","Suisse","","Genève","Genève","Av. du Champel","Av. du Champel","47","","",
"0401.937.712","REGO","Frankrijk","France","","Paris 6e","Paris 6e","Rue Notre Dame des Champs","Rue Notre Dame des Champs","115","","",
"0401.937.811","REGO","Frankrijk","France","","Paris 6e","Paris 6e","Rue Notre Dame des Champs","Rue Notre Dame des Champs","115","","",
"0401.940.977","REGO","Frankrijk","France","","Paris 14e","Paris 14e","Av. de Chatillon 68 Bis","Av. de Chatillon 68 Bis","","","",
"0401.947.313","REGO","Italië","Italie","","Milan","Milan","Piazza S. Maria Belrade","Piazza S. Maria Belrade","","","",
"0401.956.914","REGO","Frankrijk","France","","Anvilly Loiret","Anvilly Loiret","Zone Industrielle","Zone Industrielle","","","",
"0401.961.961","REGO","Frankrijk","France","","Paris 7e","Paris 7e","Rue Biscornet","Rue Biscornet","7","","",
"0401.970.671","REGO","Frankrijk","France","","...","...","","","","","",
"0401.972.552","REGO","Nederland","Pays-Bas","5078HC","Helmond","Helmond","Hortsedijk","Hortsedijk","81","","",
"0401.979.282","REGO","Frankrijk","France","","...","...","","","","","",
"0401.980.668","REGO","Verenigde Staten van Amerika","Etats-Unis d'Amérique","","Niles-Country d'Alameda","Niles-Country d'Alameda","","","","","",
"0401.981.361","REGO","Frankrijk","France","","Paris 18e","Paris 18e","Rue du Rocher","Rue du Rocher","19","","",
"0401.981.757","REGO","Frankrijk","France","","Paris 15e","Paris 15e","Rue de la Procession","Rue de la Procession","27","","",
"0401.988.586","REGO","Nederland","Pays-Bas","2031","Haarlem","Haarlem","Waarderweg","Waarderweg","39","","",
"0401.994.724","REGO","Panama","Panama","","Colon","Colon","Apartado","Apartado","840","","",
"0401.995.021","REGO","Verenigde Staten van Amerika","Etats-Unis d'Amérique","","New York","New York","East 42th Street","East 42th Street","","","",
"0402.003.137","REGO","Frankrijk","France","","Paris 6e","Paris 6e","Bd des Invalides","Bd des Invalides","35","","",
"0402.013.134","REGO","Groot-Brittannië","Grande-Bretagne","","Manchester","Manchester","Fountain Street","Fountain Street","","","",
"0402.015.411","REGO","Onbepaald","Indéterminé","","Luxembourg","Luxembourg","Rue de Hollerich","Rue de Hollerich","31","","",
"0402.031.841","REGO","Nederland","Pays-Bas","","Groningen","Groningen","","","","","",
"0402.031.940","REGO","Panama","Panama","","Panama","Panama","","","","","",
"0402.033.920","REGO","Groot-Brittannië","Grande-Bretagne","","Leamington Spa CV 32 4NL","Leamington Spa CV 32 4NL","Regent Square House  The Parade","Regent Square House  The Parade","","","",
"0402.034.811","REGO","Frankrijk","France","","Paris XIIe","Paris XIIe","Rue Santerre","Rue Santerre","10","","",
"0402.040.056","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","","Hanovre-Buchholz","Hanovre-Buchholz","Sutelstrasse","Sutelstrasse","12","","",
"0402.042.729","REGO","Frankrijk","France","","Paris VIIIe","Paris VIIIe","Cours Albert Ier","Cours Albert Ier","16","","",
"0402.058.862","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","","5Koln Lindonthal","5Koln Lindonthal","Richard Strauss strasse","Richard Strauss strasse","2","","",
"0402.070.542","REGO","Frankrijk","France","","Paris 17e","Paris 17e","Rue de Tocqueville 75-77","Rue de Tocqueville 75-77","","","",
"0402.076.381","REGO","Groot-Brittannië","Grande-Bretagne","","Londres","Londres","","","","","",
"0402.079.153","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","","Ludwigshaven/Rhein","Ludwigshaven/Rhein","Burgermeister Grungweyerstrasse1","Burgermeister Grungweyerstrasse1","","","",
"0402.081.529","REGO","Frankrijk","France","","Puteaux","Puteaux","Tour Anjou 33 Quai National","Tour Anjou 33 Quai National","","","",
"0402.082.321","REGO","Frankrijk","France","","Marseille 3e","Marseille 3e","Rue Peyssonnel  7 et 31-13","Rue Peyssonnel  7 et 31-13","","","",
"0402.088.259","REGO","Spanje","Espagne","28014","MADRID","MADRID","plaza de las Cortes","plaza de las Cortes","7","","",
